T,Price,Solar_Output,Storage_Discharge,Storage_Charge,Storage_SOC,Export,Import,Interval_Revenue
67,17.6,22.223,0.0,0.0,34.36961988304094,20.0007,0.0,88.00308
68,18.2,17.228,0.6045555555555766,0.0,34.21052631578947,16.04930000000002,0.0,73.02431500000009
69,19.42,12.233,10.0,0.0,31.57894736842105,20.0097,0.0,97.1470935
70,20.45,9.175,10.0,0.0,28.94736842105263,17.2575,0.0,88.22896874999999
71,35.79,6.116,10.0,0.0,26.31578947368421,14.504399999999999,0.0,129.77811899999998
72,37.5,3.058,10.0,0.0,23.684210526315788,11.7522,0.0,110.176875
73,71.02,-0.0,10.0,0.0,21.052631578947366,9.0,0.0,159.795
74,73.86,-0.0,10.0,0.0,18.421052631578945,9.0,0.0,166.185
75,35.35,-0.0,10.0,0.0,15.789473684210526,9.0,0.0,79.53750000000001
76,31.4,-0.0,10.0,0.0,13.157894736842104,9.0,0.0,70.64999999999999
77,30.89,-0.0,10.0,0.0,10.526315789473683,9.0,0.0,69.5025
78,37.58,-0.0,10.0,0.0,7.894736842105262,9.0,0.0,84.55499999999999
79,77.85,-0.0,10.0,0.0,5.263157894736842,9.0,0.0,175.1625
80,71.52,-0.0,10.0,0.0,2.631578947368421,9.0,0.0,160.92
81,23.24,-0.0,10.0,0.0,0.0,9.0,0.0,52.29
82,15.52,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
83,16.63,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0
84,16.14,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0
85,16.86,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0
86,14.43,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
87,12.47,-0.0,0.0,10.0,2.375,0.0,11.11111111111111,-34.63888888888889
88,13.11,-0.0,0.0,-0.0,2.375,0.0,0.0,0.0
89,17.61,-0.0,9.025,0.0,0.0,8.1225,0.0,35.75930625
90,16.16,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0
91,15.3,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0
92,15.18,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
93,13.61,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
94,11.89,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0
95,14.23,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
96,14.09,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
